id,zminuje_youtube,zminuje_tomio,zminuje_okamura,zminuje_ab_handle,zminuje_babis,zminuje_cr,zminuje_ovce_handle,zminuje_spd,zminuje_zeman,zminuje_clovek,zminuje_migrant,zminuje_prezident,zminuje_rok,zminuje_vlada,zminuje_volba,zminuje_cesky,zminuje_dalsi,zminuje_dobry,zminuje_islamsky,zminuje_jiny,zminuje_velky,zminuje_ja,zminuje_on,zminuje_se,sloves,prislovci,zajmen,vet,name,original,source
1071066980680171500,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,tomio_cz,TRUE,Google
1071079499817734100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,2,2,Tomio_Okamura,TRUE,Twitter Web Client
1071081677710127100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,Tomio_Okamura,TRUE,Twitter Web Client
1071112563373629400,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,tomio_cz,TRUE,Google
1071126286649778200,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,tomio_cz,TRUE,Google
1071129384671739900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,1,1,tomio_cz,TRUE,Twitter for iPhone
1071336426757865500,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,tomio_cz,TRUE,Google
1071441315462819800,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,tomio_cz,TRUE,Google
1071443241810255900,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,tomio_cz,TRUE,Google
1071682942567501800,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,tomio_cz,TRUE,Google
1072011228829151200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,1,1,2,Tomio_Okamura,TRUE,Twitter Web Client
1072030494890422300,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,tomio_cz,TRUE,Google
1072056240182837200,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,tomio_cz,TRUE,Google
1072197386917810200,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,tomio_cz,TRUE,Google
1072402384004018200,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,4,Tomio_Okamura,FALSE,Twitter Web Client
1072403325574963200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,3,3,2,Tomio_Okamura,TRUE,Twitter Web Client
1072570197133930500,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,tomio_cz,TRUE,Google
1072573489473904600,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,tomio_cz,TRUE,Google
1072915681962876900,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,1,1,2,Tomio_Okamura,FALSE,Twitter for Android
1072932667153363e3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,Tomio_Okamura,TRUE,Twitter for Android
1073114893031800800,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,tomio_cz,TRUE,Google
1073116276824756200,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,tomio_cz,TRUE,Google
1073167799177150500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,7,1,2,2,Tomio_Okamura,TRUE,Twitter Web Client
1073264140448346100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,2,Tomio_Okamura,TRUE,Twitter Web Client
1073267058756984800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Tomio_Okamura,TRUE,Twitter Web Client
1.0733181524974961e+18,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,tomio_cz,TRUE,Google
1073480347982143500,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,tomio_cz,TRUE,Google
1073539492697567200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,2,2,3,Tomio_Okamura,TRUE,Twitter for Android
1073622372815695900,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,tomio_cz,TRUE,Google
1073870722186006500,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,tomio_cz,TRUE,Google
1073971303768444900,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,tomio_cz,TRUE,Google
1074365961426350100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,tomio_cz,TRUE,Twitter for iPhone
1074536029686808600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,2,1,2,Tomio_Okamura,TRUE,Twitter Web Client
1074593733398560800,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,tomio_cz,TRUE,Google
1074953044515848200,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,tomio_cz,TRUE,Google
1075028819692662800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6,0,1,3,Tomio_Okamura,TRUE,Twitter Web Client
1075029678895841300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,1,7,Tomio_Okamura,TRUE,Twitter Web Client
1075075047906336800,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,tomio_cz,TRUE,Google
1075105882990698500,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,tomio_cz,TRUE,Google
1075374015395627e3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,3,Tomio_Okamura,TRUE,Twitter for Android
1075491890080952300,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,tomio_cz,TRUE,Google
1075621102477557800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,11,4,5,6,Tomio_Okamura,TRUE,Twitter Web Client
1.0756528946433679e+18,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,tomio_cz,TRUE,Google
107565617257583e4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,7,4,5,3,Tomio_Okamura,TRUE,Twitter for Android
1075733334083465200,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,tomio_cz,TRUE,Google
1075834542366253e3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,tomio_cz,TRUE,Google
1075843810129834e3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,tomio_cz,TRUE,Google
1075915740711129100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,Tomio_Okamura,TRUE,Twitter Web Client
1076170540560404500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,2,Tomio_Okamura,TRUE,Twitter Web Client
1076191637615722500,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,tomio_cz,TRUE,Google
1076233635026620400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,Tomio_Okamura,TRUE,Twitter Web Client
1076406427181301800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,Tomio_Okamura,FALSE,Twitter Web Client
1076541523146108900,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,tomio_cz,TRUE,Google
1076974112202018800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,Tomio_Okamura,TRUE,Twitter for Android
1077112718648401900,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,tomio_cz,TRUE,Google
1077114053238157300,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,tomio_cz,TRUE,Google
1077291737985572900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,tomio_cz,TRUE,Twitter for iPhone
1077996017163878400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,tomio_cz,TRUE,Twitter for iPhone
1078018789604773900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,Tomio_Okamura,TRUE,Twitter for Android
1078043505426157600,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,2,Tomio_Okamura,TRUE,Twitter Web Client
1078283006715052e3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,tomio_cz,TRUE,Google
