lemma,id_slovo
.,1
",",2
@,3
být,4
:,5
ten,6
a,7
se,8
na,9
v,10
Okamura,11
Tomio,12
prostřednictví,13
YouTube,14
?,15
že,16
já,17
mít,18
"""",19
on,20
s,21
ale,22
z,23
o,24
za,25
do,26
tak,27
_,28
!,29
),30
co,31
už,32
SPD,33
který,34
-,35
když,36
moci,37
pro,38
můj,39
chtít,40
člověk,41
aby,42
#,43
ne,44
i,45
jako,46
k,47
PREZIDENTmluvci,48
všechen,49
český,50
Babiš,51
jak,52
jen,53
Zeman,54
ČR,55
muset,56
rok,57
také,58
ty,59
AndrejBabis,60
tam,61
prezident,62
vědět,63
svůj,64
dnes,65
říci,66
ještě,67
od,68
(,69
po,70
vláda,71
kdo,72
hodně,73
volba,74
podle,75
EU,76
nebo,77
ano,78
pan,79
asi,80
jeden,81
jeho,82
další,83
dobrý,84
někdo,85
proti,86
tady,87
říkat,88
stát,89
;,90
dát,91
u,92
dělat,93
jít,94
protože,95
než,96
televize,97
proč,98
strana,99
velký,100
ani,101
Andrej,102
až,103
teď,104
migrant,105
politika,106
Posledniskaut,107
tento,108
tenhle,109
1,110
jo,111
před,112
sněmovna,113
BlanikZ,114
hnutí,115
den,116
každý,117
moc,118
takový,119
jiný,120
kde,121
no,122
takže,123
fakt,124
politický,125
politik,126
právě,127
zpráva,128
bez,129
celý,130
dobře,131
nový,132
občan,133
mezi,134
nějaký,135
kvůli,136
zákon,137
ČSSD,138
myslit,139
něco,140
pak,141
vidět,142
země,143
2,144
islámský,145
první,146
rád,147
24,148
Evropa,149
podpora,150
poslanec,151
pravda,152
republika,153
%,154
dostat,155
referendum,156
hrad,157
nic,158
přijít,159
zase,160
islám,161
Čech,162
při,163
problém,164
druhý,165
slovo,166
volič,167
dva,168
evropský,169
peníze,170
Sobotka,171
cz,172
dítě,173
doba,174
mluvit,175
Praha,176
státní,177
video,178
imigrant,179
kdy,180
Ovčáček,181
proto,182
takhle,183
/,184
čas,185
ministr,186
najít,187
nikdy,188
podporovat,189
rozhovor,190
žádný,191
žena,192
konečně,193
návrh,194
plat,195
poslední,196
prosazovat,197
začít,198
jestli,199
Miloš,200
pokud,201
třeba,202
tvůj,203
udělat,204
ČT,205
demokracie,206
Jan,207
projev,208
prostě,209
psát,210
stejně,211
včera,212
CZ,213
firma,214
jaký,215
kolik,216
nad,217
rodina,218
senát,219
aspoň,220
kampaň,221
premiér,222
prý,223
volební,224
vypadat,225
1967,226
3,227
fotka,228
JaroslavKmenta,229
Midlinka,230
místo,231
myslet,232
nikdo,233
právo,234
snad,235
člen,236
jenom,237
řešení,238
seznam,239
vysílání,240
život,241
2017,242
dnešní,243
facebook,244
jantvrdon,245
JosefKokta,246
malý,247
milión,248
práce,249
tisíc,250
TomZdechovsky,251
volit,252
znamenat,253
migrace,254
miliarda,255
program,256
svoboda,257
věc,258
vystoupení,259
–,260
Agrofert,261
Babišův,262
médium,263
sám,264
špatný,265
vůbec,266
10,267
4,268
dávat,269
dlouho,270
hned,271
jenž,272
kandidovat,273
odmítat,274
pod,275
podpořit,276
politicky,277
pořád,278
slušný,279
tři,280
5,281
chápat,282
děkovat,283
jediný,284
jindrichsidlo,285
kraj,286
názor,287
přát,288
přímý,289
rozpočet,290
ať,291
boj,292
debata,293
Klaus,294
MJureka,295
škola,296
úplně,297
vládní,298
ct,299
D,300
DVTVcz,301
EET,302
hrát,303
Jiří,304
kandidát,305
kdyby,306
konec,307
líbit,308
národ,309
národní,310
paní,311
potřeba,312
potřebovat,313
Soukup,314
týden,315
VacDol,316
vadit,317
